# Active retained bridge review ledger for product-lane first-party C.
bridge_path	local_owner	parity_target	status	notes
zig_bridge/mathematics/math_wrappers_runtime_helpers.c	zig_src/mathematics/math_command_wrappers_runtime.zig	math_command_wrappers_parity	blocked-by-larger-parity-boundary	Shared GMP-heavy math wrapper seam; defer until a narrower helper tranche is isolated.
zig_bridge/mathematics/random_runtime_helpers.c	zig_src/mathematics/math_command_wrappers_runtime.zig	math_random_parity	blocked-by-larger-parity-boundary	Random helper seam still hangs off the broader math wrapper boundary.
zig_bridge/state/calc_state_retained.c	zig_src/state/calc_state.zig	calc_state_parity	blocked-by-larger-parity-boundary	Retained save and load entrypoints still own a broad cross-target restore seam and are deferred to a dedicated parity-bounded retirement batch.
zig_bridge/state/calc_state_runtime_helpers.c	zig_src/state/calc_state_runtime.zig	calc_state_parity	blocked-by-larger-parity-boundary	Save and restore helper entrypoints are now bypassed by Zig-owned runtime UI bindings; remaining file I O and post-load UI helpers are deferred as a larger parity seam.
zig_bridge/state/flags_retained.c	zig_src/state/flags.zig	flags_parity	blocked-by-larger-parity-boundary	Whole retained flags command surface remains a broad parity seam and is deferred to a dedicated bounded retirement batch.
zig_bridge/state/keyboard_state_retained.c	zig_src/state/keyboard_state.zig	keyboard_state_parity	blocked-by-larger-parity-boundary	Public keyboard entrypoints and tweak behavior still define a broad parity seam and are deferred to a dedicated bounded retirement batch.
zig_bridge/state/program_serialization_retained.c	zig_src/state/program_serialization.zig	program_serialization_parity	blocked-by-larger-parity-boundary	Retained fnSaveProgram and fnLoadProgram still front a broad saveRestorePrograms parity seam and are deferred to a dedicated bounded batch.
zig_bridge/state/program_serialization_runtime_helpers.c	zig_src/state/program_serialization_runtime.zig	program_serialization_parity	blocked-by-larger-parity-boundary	File I O and label-selection helpers remain a larger parity seam and are deferred to a dedicated bounded retirement batch.
zig_bridge/state/register_metadata_runtime_helpers.c	zig_src/state/register_metadata_runtime.zig	register_metadata_parity	blocked-by-larger-parity-boundary	Large ABI-sensitive descriptor and matrix-header seam; keep until a narrower helper cut is proven.
zig_bridge/state/registers_retained.c	zig_src/state/register_metadata.zig	register_metadata_parity	blocked-by-larger-parity-boundary	Retained register command and allocation surface remains a broad register parity seam and is deferred to a dedicated bounded retirement batch.
zig_bridge/state/stack_runtime_helpers.c	zig_src/state/stack_runtime.zig	stack_state_parity	blocked-by-larger-parity-boundary	Large adjustResult and conversion helper surface still mixes multiple stack and register contracts.
